Bransch;Region;År;Värde;Hex;RGB
okänd verksamhet;Ludvika;2015;85;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Ludvika;2015;200;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Ludvika;2015;4063;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Ludvika;2015;134;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Ludvika;2015;854;#eb12c8;rgb(235, 18, 200)
handel;Ludvika;2015;1019;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Ludvika;2015;330;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Ludvika;2015;310;#faff01;rgb(250, 255, 1)
information och kommunikation;Ludvika;2015;57;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Ludvika;2015;52;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Ludvika;2015;245;#ec9eed;rgb(236, 158, 237)
företagstjänster;Ludvika;2015;1178;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Ludvika;2015;501;#fcac34;rgb(252, 172, 52)
utbildning ;Ludvika;2015;1066;#8f0e25;rgb(143, 14, 37)
kulturella och personliga tjänster m.m.;Ludvika;2015;428;#FF8080;rgb(255, 128, 128)
"vård och omsorg; sociala tjänster";Ludvika;2015;2188;#f5370d;rgb(245, 55, 13)
okänd verksamhet;Avesta;2015;78;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Avesta;2015;246;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Avesta;2015;2667;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Avesta;2015;102;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Avesta;2015;741;#eb12c8;rgb(235, 18, 200)
handel;Avesta;2015;1115;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Avesta;2015;575;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Avesta;2015;204;#faff01;rgb(250, 255, 1)
information och kommunikation;Avesta;2015;66;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Avesta;2015;44;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Avesta;2015;87;#ec9eed;rgb(236, 158, 237)
företagstjänster;Avesta;2015;742;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Avesta;2015;277;#fcac34;rgb(252, 172, 52)
utbildning ;Avesta;2015;971;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Avesta;2015;1765;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Avesta;2015;348;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Hedemora;2015;72;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Hedemora;2015;302;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Hedemora;2015;1200;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Hedemora;2015;106;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Hedemora;2015;508;#eb12c8;rgb(235, 18, 200)
handel;Hedemora;2015;631;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Hedemora;2015;299;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Hedemora;2015;204;#faff01;rgb(250, 255, 1)
information och kommunikation;Hedemora;2015;34;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Hedemora;2015;57;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Hedemora;2015;154;#ec9eed;rgb(236, 158, 237)
företagstjänster;Hedemora;2015;395;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Hedemora;2015;145;#fcac34;rgb(252, 172, 52)
utbildning ;Hedemora;2015;621;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Hedemora;2015;1673;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Hedemora;2015;206;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Säter;2015;59;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Säter;2015;262;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Säter;2015;337;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Säter;2015;21;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Säter;2015;365;#eb12c8;rgb(235, 18, 200)
